,footlength,Age,weightkg,stature,waistbreadth/chestbreadth,error,waistcircumference
103,260,22,814,1782,1.0892857142857142,-13.5765380859375,873
104,282,28,646,1839,1.2034632034632036,-5.8795166015625,785
105,280,31,954,1880,1.1373801916932906,52.54083251953125,1023
106,278,28,853,1738,1.1122807017543859,-9.1632080078125,924
107,270,31,900,1734,1.1565836298932384,14.2796630859375,1001
108,284,34,835,1819,1.113879003558719,-13.6435546875,901
109,265,30,851,1683,1.1722972972972974,-16.5074462890625,958
110,275,31,897,1815,1.2152777777777777,-4.2791748046875,972
111,279,42,872,1815,1.1178451178451179,-8.09124755859375,939
112,246,40,822,1673,1.127946127946128,18.84490966796875,1003
113,285,28,1112,1831,1.3554006968641115,0.0279541015625,1139
114,263,48,987,1795,1.3264604810996563,41.398193359375,1162
115,275,29,1105,1845,1.2070063694267517,15.6558837890625,1111
116,246,32,782,1687,1.119298245614035,-28.13812255859375,900
117,274,30,869,1756,1.1720430107526882,31.77392578125,998
118,294,28,1413,1846,1.118457300275482,98.5211181640625,1330
119,254,21,789,1657,1.0777385159010602,9.99676513671875,897
120,257,20,690,1632,1.1535714285714285,59.95703125,911
121,267,29,792,1735,1.1263537906137184,-45.56781005859375,861
122,269,34,699,1726,1.2350746268656716,34.553466796875,920
123,283,46,1212,1877,1.2246835443037976,13.987548828125,1192
124,289,38,878,1887,1.2294520547945205,36.1885986328125,1012
125,284,39,706,1765,1.1297709923664123,1.40911865234375,845
126,280,26,822,1793,1.0313588850174216,-13.17791748046875,843
127,288,24,992,1849,1.136200716845878,-74.90740966796875,910
128,263,41,760,1811,1.0880281690140845,-9.26531982421875,879
129,276,38,988,1739,1.224561403508772,-43.3402099609375,1031
130,275,24,759,1668,1.2938931297709924,1.868896484375,929
131,270,19,898,1788,1.2899628252788105,1.55743408203125,994
132,281,31,782,1746,0.9689655172413794,-12.5897216796875,815
133,265,36,831,1750,1.156794425087108,24.66241455078125,983
134,285,24,996,1810,1.1580645161290322,-3.92962646484375,1004
135,260,33,742,1710,1.023890784982935,-20.55426025390625,825
136,288,31,968,1847,1.2837837837837838,50.2547607421875,1077
137,276,27,916,1811,1.1528239202657806,-16.9539794921875,952
138,296,40,1080,1780,1.2429577464788732,-51.4873046875,1047
139,259,33,788,1740,1.0067114093959733,-13.6505126953125,851
140,278,31,949,1797,1.1795774647887325,-82.4764404296875,920
141,282,23,906,1755,1.1216216216216217,-5.9486083984375,934
142,286,29,1069,1842,1.2770700636942676,31.119873046875,1114
143,259,24,874,1656,1.273764258555133,-52.30511474609375,967
144,272,26,879,1776,1.2644927536231885,17.97235107421875,1007
145,284,32,1154,1859,1.2467532467532467,-22.120849609375,1109
146,266,22,790,1685,1.0649819494584838,-43.84222412109375,827
147,278,21,887,1775,1.174061433447099,1.98583984375,947
148,290,26,866,1825,1.1406844106463878,-33.30010986328125,881
149,284,21,806,1931,1.0434782608695652,28.4366455078125,833
150,275,26,966,1789,1.0740740740740742,0.62646484375,963
151,281,36,1099,1819,1.228476821192053,-13.15966796875,1100
152,262,34,771,1782,1.0,5.19708251953125,852
153,259,23,951,1721,1.157718120805369,-82.3489990234375,941
154,298,33,1118,1910,1.143312101910828,-15.6016845703125,1026
155,276,30,895,1804,1.1456953642384107,15.2652587890625,978
156,270,33,1060,1782,1.1773700305810397,59.2239990234375,1150
157,272,22,951,1777,1.1696113074204948,-51.16748046875,935
158,260,42,721,1665,1.1510791366906474,10.0396728515625,923
159,263,38,872,1803,1.2482014388489209,-23.61871337890625,973
160,300,32,978,1879,1.0064308681672025,-21.37384033203125,908
161,249,30,974,1733,1.2044728434504792,59.1097412109375,1111
162,278,38,958,1835,1.1610738255033557,30.486083984375,1031
163,277,25,1123,1792,1.3485342019543973,3.69482421875,1164
164,272,39,900,1721,1.1072555205047319,11.79473876953125,1006
165,262,27,948,1711,1.215547703180212,-19.6322021484375,1018
166,268,32,950,1809,1.1563517915309447,-19.23748779296875,992
167,261,19,739,1664,1.1594202898550725,31.2529296875,908
168,279,40,1036,1807,1.1339285714285714,-2.0048828125,1053
169,270,26,777,1705,1.2346153846153847,-16.91693115234375,912
170,299,33,1080,1955,1.1980830670926517,13.6268310546875,1049
171,274,30,840,1730,1.173758865248227,-30.5098876953125,917
172,278,41,964,1774,1.2059800664451827,24.57080078125,1066
173,260,32,707,1724,1.1590909090909092,-30.09271240234375,848
174,260,31,705,1705,0.9494584837545126,-30.437744140625,759
175,274,36,851,1838,1.1023890784982935,33.75140380859375,959
176,245,25,865,1706,1.0888157894736843,18.466796875,970
177,272,43,972,1809,1.125,43.516845703125,1068
178,282,37,822,1773,1.2055749128919862,31.69915771484375,972
179,271,31,842,1734,1.2446043165467626,15.01611328125,993
180,268,38,723,1748,1.0899653979238755,34.52752685546875,898
181,262,32,896,1651,1.2190812720848057,-72.6510009765625,964
182,275,20,755,1724,1.103202846975089,26.6737060546875,881
183,286,23,732,1860,1.047945205479452,32.25311279296875,821
184,266,19,701,1715,1.120754716981132,-29.4945068359375,801
185,279,28,783,1757,1.075,-17.554443359375,845
186,292,26,1164,1916,1.2928348909657321,21.8504638671875,1134
187,280,27,799,1847,1.0171821305841924,41.65032958984375,877
188,289,30,908,1855,1.0711974110032363,36.0762939453125,951
189,261,25,677,1718,1.2248995983935742,-3.4075927734375,867
190,257,38,858,1641,1.1815068493150684,14.2239990234375,1029
191,293,25,852,1833,1.0673400673400673,7.244140625,879
192,292,30,1033,1784,1.127388535031847,-11.9078369140625,1015
193,283,24,1034,1770,1.2114093959731544,-27.2501220703125,1034
194,247,26,725,1702,1.101123595505618,-16.03955078125,844
195,255,29,711,1800,1.0459363957597174,-23.13958740234375,797
196,265,31,678,1715,1.1679104477611941,33.35638427734375,892
197,277,24,782,1842,1.103321033210332,19.433837890625,865
198,276,43,909,1710,1.294776119402985,-21.8543701171875,1031
199,283,33,840,1753,1.1076388888888888,-6.4163818359375,912
200,278,24,1086,1935,1.318032786885246,-1.7813720703125,1086
201,258,39,758,1738,1.1099656357388317,7.04754638671875,914
202,256,21,833,1770,1.1453287197231834,1.00079345703125,923
203,277,23,870,1720,1.1879432624113475,-29.20697021484375,918
204,240,24,728,1673,1.0777385159010602,-31.5054931640625,831
205,266,50,1109,1715,1.3006329113924051,-18.9720458984375,1182
206,266,33,945,1822,1.1699346405228759,43.41302490234375,1054
207,286,22,1141,1913,1.2362459546925566,33.036376953125,1118
208,269,21,907,1756,1.2140350877192982,-17.4580078125,963
209,253,27,846,1735,1.0774410774410774,-51.31048583984375,877
210,285,21,818,1726,1.1209964412811388,23.43621826171875,912
211,260,23,869,1716,1.1366666666666667,16.90509033203125,973
212,257,37,682,1717,1.1379310344827587,-46.1796875,818
213,262,32,680,1718,1.0456273764258555,-27.79681396484375,783
214,284,28,947,1747,1.1359223300970873,28.59716796875,1015
215,243,23,474,1567,0.9806201550387597,-21.2310791015625,694
216,274,42,1158,1894,1.2225806451612904,-26.3924560546875,1121
217,264,22,729,1738,1.0494699646643109,49.14971923828125,870
218,294,35,1078,1862,1.191275167785235,-37.59130859375,1015
219,241,31,540,1654,1.0075187969924813,-2.1087646484375,738
220,247,34,854,1637,1.2365591397849462,5.718017578125,1032
221,272,25,871,1738,1.2013201320132014,8.20977783203125,979
222,287,37,1071,1813,1.1146496815286624,-35.6163330078125,1017
223,295,32,791,1738,1.1038062283737025,7.4267578125,883
224,300,27,1096,1815,1.195046439628483,10.0550537109375,1068
225,267,31,1150,1736,1.4172413793103449,-42.4813232421875,1179
226,275,23,866,1689,1.2988929889298892,-2.044921875,993
227,253,26,756,1740,1.2188679245283018,-40.06048583984375,880
228,269,34,834,1782,1.3411764705882352,-6.54156494140625,977
229,271,39,812,1784,1.1517241379310346,-5.26885986328125,925
230,252,23,845,1647,1.1843003412969284,29.91015625,1010
231,268,25,941,1740,1.1455696202531647,9.951171875,1004
232,273,25,644,1664,0.9513888888888888,-5.08447265625,744
233,290,35,1124,1805,1.2,-64.22216796875,1045
234,267,23,907,1745,1.0714285714285714,-0.93194580078125,936
235,257,23,718,1605,1.096,-106.059814453125,755
236,271,26,971,1830,1.141914191419142,2.1248779296875,997
237,269,31,813,1810,1.1118881118881119,13.781494140625,913
238,244,35,755,1731,1.1160409556313993,13.70245361328125,921
239,295,27,797,1845,1.1831501831501832,6.56072998046875,899
240,288,33,648,1775,0.9885496183206107,-24.00048828125,734
241,276,28,1079,1795,1.2754098360655737,11.130859375,1124
242,267,22,874,1664,1.0918367346938775,30.02813720703125,976
243,263,23,982,1752,1.2,58.386474609375,1084
244,269,45,893,1814,1.1746575342465753,38.65283203125,1026
245,282,39,1087,1836,1.2038216560509554,-16.734619140625,1078
246,248,29,775,1628,1.1756272401433692,23.75909423828125,972
247,253,39,801,1640,1.1079136690647482,-57.00653076171875,903
248,280,23,874,1728,1.1672597864768683,-17.26214599609375,928
249,244,30,568,1606,1.1338582677165354,-19.83282470703125,779
250,265,25,1174,1861,1.1716867469879517,32.2344970703125,1149
251,266,50,863,1761,1.203448275862069,-12.759521484375,992
252,284,40,970,1754,1.1161290322580646,-25.84173583984375,989
253,254,25,779,1741,1.237037037037037,-1.16986083984375,933
254,251,27,556,1657,1.0588235294117647,-5.817138671875,744
255,257,27,533,1660,1.0236220472440944,-12.7376708984375,714
256,258,28,933,1678,1.4157706093189963,54.260009765625,1147
257,275,42,866,1735,1.2424242424242424,-23.07452392578125,976
258,288,43,1096,1750,1.049079754601227,-2.8369140625,1077
259,263,25,676,1701,1.05,35.999755859375,835
260,267,23,718,1742,1.0722433460076046,-28.65118408203125,797
